----- Initial parameters: -----
fcn value: -420.0823 
     parameter initial gradient free
[1,]    40.100        0.6639132    1
[2,]  1100.000       -0.1140057    1
[3,]     0.035      761.3512444    1
Condition number of the (active) hessian: 856464163 
lam= 44.12293 ,nu= NaN ,phi= 579.7088 ,omega= 0.03909791 ,f= NaN ,
lam= 42.11147 ,nu= NaN ,phi= 839.8544 ,omega= 0.03704896 ,f= NaN ,
lam= 41.10573 ,nu= 4.211792 ,phi= 969.9272 ,omega= 0.03602448 ,f= -417.3494 ,
lam= 41.10573 ,nu= 4.211792 ,phi= 969.9272 ,omega= 0.03602448 ,f= -417.3494 ,
-----Iteration 1 -----
lam= 41.67477 ,nu= NaN ,phi= -86.31239 ,omega= 0.02546116 ,f= NaN ,
lam= 41.39025 ,nu= NaN ,phi= 441.8074 ,omega= 0.03074282 ,f= NaN ,
lam= 41.24799 ,nu= NaN ,phi= 705.8673 ,omega= 0.03338365 ,f= NaN ,
lam= 41.17686 ,nu= NaN ,phi= 837.8973 ,omega= 0.03470406 ,f= NaN ,
lam= 41.1413 ,nu= NaN ,phi= 903.9122 ,omega= 0.03536427 ,f= NaN ,
lam= 41.12352 ,nu= NaN ,phi= 936.9197 ,omega= 0.03569437 ,f= NaN ,
lam= 41.11462 ,nu= NaN ,phi= 953.4235 ,omega= 0.03585943 ,f= NaN ,
lam= 41.11018 ,nu= NaN ,phi= 961.6753 ,omega= 0.03594195 ,f= NaN ,
lam= 41.10796 ,nu= 4.167121 ,phi= 965.8013 ,omega= 0.03598322 ,f= -415.8647 ,
lam= 41.10796 ,nu= 4.167121 ,phi= 965.8013 ,omega= 0.03598322 ,f= -415.8647 ,
-----Iteration 2 -----
lam= 42.45439 ,nu= NaN ,phi= 188.4445 ,omega= -0.04270798 ,f= NaN ,
lam= 41.78117 ,nu= NaN ,phi= 577.1229 ,omega= -0.003362383 ,f= NaN ,
lam= 41.44457 ,nu= NaN ,phi= 771.4621 ,omega= 0.01631042 ,f= NaN ,
lam= 41.27626 ,nu= NaN ,phi= 868.6317 ,omega= 0.02614682 ,f= NaN ,
lam= 41.19211 ,nu= NaN ,phi= 917.2165 ,omega= 0.03106502 ,f= NaN ,
lam= 41.15003 ,nu= NaN ,phi= 941.5089 ,omega= 0.03352412 ,f= NaN ,
lam= 41.12899 ,nu= NaN ,phi= 953.6551 ,omega= 0.03475367 ,f= NaN ,
lam= 41.11848 ,nu= NaN ,phi= 959.7282 ,omega= 0.03536844 ,f= NaN ,
lam= 41.11322 ,nu= NaN ,phi= 962.7647 ,omega= 0.03567583 ,f= NaN ,
lam= 41.11059 ,nu= NaN ,phi= 964.283 ,omega= 0.03582952 ,f= NaN ,
lam= 41.10927 ,nu= 4.128915 ,phi= 965.0421 ,omega= 0.03590637 ,f= -413.391 ,
lam= 41.10927 ,nu= 4.128915 ,phi= 965.0421 ,omega= 0.03590637 ,f= -413.391 ,
-----Iteration 3 -----
lam= 41.11428 ,nu= NaN ,phi= 928.0043 ,omega= -0.0460964 ,f= NaN ,
lam= 41.11178 ,nu= NaN ,phi= 946.5232 ,omega= -0.005095014 ,f= NaN ,
lam= 41.11052 ,nu= NaN ,phi= 955.7827 ,omega= 0.01540568 ,f= NaN ,
