----- Initial parameters: -----
fcn value: -420.0871 
     parameter initial gradient free
[1,]    40.100       0.66455403    1
[2,]  1500.000      -0.08345809    1
[3,]     0.035     761.38905798    1
Condition number of the (active) hessian: 1943933506 
lam= 44.46772 ,nu= NaN ,phi= 813.8087 ,omega= 0.03886332 ,f= NaN ,
lam= 42.28386 ,nu= 5.904045 ,phi= 1156.904 ,omega= 0.03693166 ,f= -417.8943 ,
lam= 42.28386 ,nu= 5.904045 ,phi= 1156.904 ,omega= 0.03693166 ,f= -417.8943 ,
-----Iteration 1 -----
lam= 44.36003 ,nu= NaN ,phi= 904.2717 ,omega= 0.03895556 ,f= NaN ,
lam= 43.32194 ,nu= 5.253884 ,phi= 1030.588 ,omega= 0.03794361 ,f= -417.2946 ,
lam= 43.32194 ,nu= 5.253884 ,phi= 1030.588 ,omega= 0.03794361 ,f= -417.2946 ,
-----Iteration 2 -----
lam= 42.46582 ,nu= NaN ,phi= 901.2015 ,omega= 0.04050283 ,f= NaN ,
lam= 42.89388 ,nu= 4.817663 ,phi= 965.8947 ,omega= 0.03922322 ,f= -414.4978 ,
lam= 42.89388 ,nu= 4.817663 ,phi= 965.8947 ,omega= 0.03922322 ,f= -414.4978 ,
-----Iteration 3 -----
lam= 44.75127 ,nu= NaN ,phi= 432.6955 ,omega= -0.03043559 ,f= NaN ,
lam= 43.82257 ,nu= NaN ,phi= 699.2951 ,omega= 0.004393814 ,f= NaN ,
lam= 43.35823 ,nu= NaN ,phi= 832.5949 ,omega= 0.02180852 ,f= NaN ,
lam= 43.12605 ,nu= NaN ,phi= 899.2448 ,omega= 0.03051587 ,f= NaN ,
lam= 43.00997 ,nu= NaN ,phi= 932.5698 ,omega= 0.03486954 ,f= NaN ,
lam= 42.95192 ,nu= NaN ,phi= 949.2323 ,omega= 0.03704638 ,f= NaN ,
lam= 42.9229 ,nu= NaN ,phi= 957.5635 ,omega= 0.0381348 ,f= NaN ,
