----- Initial parameters: -----
fcn value: -632.6413 
     parameter initial gradient free
[1,]    40.100       -0.2520243    1
[2,]  1100.000       -0.1782014    1
[3,]     0.035     -282.3027218    1
Condition number of the (active) hessian: 496830626 
lam= 42.35609 ,nu= 5.386343 ,phi= 1087.819 ,omega= 0.03146919 ,f= -632.42 ,
lam= 42.35609 ,nu= 5.386343 ,phi= 1087.819 ,omega= 0.03146919 ,f= -632.42 ,
-----Iteration 1 -----
lam= 38.87429 ,nu= 4.961945 ,phi= 1024.875 ,omega= 0.03432183 ,f= -629.8501 ,
lam= 38.87429 ,nu= 4.961945 ,phi= 1024.875 ,omega= 0.03432183 ,f= -629.8501 ,
-----Iteration 2 -----
lam= 44.33392 ,nu= NaN ,phi= 104.5158 ,omega= 0.01014211 ,f= NaN ,
lam= 41.60411 ,nu= NaN ,phi= 564.6956 ,omega= 0.02223197 ,f= NaN ,
lam= 40.2392 ,nu= NaN ,phi= 794.7855 ,omega= 0.0282769 ,f= NaN ,
lam= 39.55674 ,nu= NaN ,phi= 909.8304 ,omega= 0.03129936 ,f= NaN ,
lam= 39.21551 ,nu= NaN ,phi= 967.3529 ,omega= 0.03281059 ,f= NaN ,
lam= 39.0449 ,nu= NaN ,phi= 996.1142 ,omega= 0.03356621 ,f= NaN ,
lam= 38.95959 ,nu= NaN ,phi= 1010.495 ,omega= 0.03394402 ,f= NaN ,
lam= 38.91694 ,nu= NaN ,phi= 1017.685 ,omega= 0.03413292 ,f= NaN ,
lam= 38.89561 ,nu= NaN ,phi= 1021.28 ,omega= 0.03422737 ,f= NaN ,
lam= 38.88495 ,nu= 4.937017 ,phi= 1023.078 ,omega= 0.0342746 ,f= -628.9645 ,
lam= 38.88495 ,nu= 4.937017 ,phi= 1023.078 ,omega= 0.0342746 ,f= -628.9645 ,
-----Iteration 3 -----
lam= 42.74927 ,nu= NaN ,phi= 30.47486 ,omega= -0.02538797 ,f= NaN ,
lam= 40.81711 ,nu= NaN ,phi= 526.7763 ,omega= 0.004443318 ,f= NaN ,
lam= 39.85103 ,nu= NaN ,phi= 774.9271 ,omega= 0.01935896 ,f= NaN ,
lam= 39.36799 ,nu= NaN ,phi= 899.0024 ,omega= 0.02681678 ,f= NaN ,
lam= 39.12647 ,nu= NaN ,phi= 961.0401 ,omega= 0.03054569 ,f= NaN ,
lam= 39.00571 ,nu= NaN ,phi= 992.059 ,omega= 0.03241015 ,f= NaN ,
lam= 38.94533 ,nu= NaN ,phi= 1007.568 ,omega= 0.03334237 ,f= NaN ,
lam= 38.91514 ,nu= NaN ,phi= 1015.323 ,omega= 0.03380849 ,f= NaN ,
lam= 38.90005 ,nu= NaN ,phi= 1019.2 ,omega= 0.03404154 ,f= NaN ,
lam= 38.8925 ,nu= NaN ,phi= 1021.139 ,omega= 0.03415807 ,f= NaN ,
lam= 38.88872 ,nu= 4.905317 ,phi= 1022.108 ,omega= 0.03421634 ,f= -627.0037 ,
lam= 38.88872 ,nu= 4.905317 ,phi= 1022.108 ,omega= 0.03421634 ,f= -627.0037 ,
-----Iteration 4 -----
lam= 38.95348 ,nu= NaN ,phi= 902.2677 ,omega= -0.03845619 ,f= NaN ,
lam= 38.9211 ,nu= NaN ,phi= 962.1881 ,omega= -0.002119925 ,f= NaN ,
lam= 38.90491 ,nu= NaN ,phi= 992.1483 ,omega= 0.01604821 ,f= NaN ,
lam= 38.89682 ,nu= NaN ,phi= 1007.128 ,omega= 0.02513227 ,f= NaN ,
lam= 38.89277 ,nu= NaN ,phi= 1014.618 ,omega= 0.0296743 ,f= NaN ,
lam= 38.89075 ,nu= NaN ,phi= 1018.363 ,omega= 0.03194532 ,f= NaN ,
lam= 38.88974 ,nu= NaN ,phi= 1020.236 ,omega= 0.03308083 ,f= NaN ,
lam= 38.88923 ,nu= NaN ,phi= 1021.172 ,omega= 0.03364858 ,f= NaN ,
lam= 38.88898 ,nu= NaN ,phi= 1021.64 ,omega= 0.03393246 ,f= NaN ,
lam= 38.88885 ,nu= NaN ,phi= 1021.874 ,omega= 0.0340744 ,f= NaN ,
lam= 38.88879 ,nu= NaN ,phi= 1021.991 ,omega= 0.03414537 ,f= NaN ,
lam= 38.88876 ,nu= 4.893373 ,phi= 1022.05 ,omega= 0.03418085 ,f= -626.3585 ,
lam= 38.88876 ,nu= 4.893373 ,phi= 1022.05 ,omega= 0.03418085 ,f= -626.3585 ,
-----Iteration 5 -----
lam= 38.90253 ,nu= NaN ,phi= 969.5329 ,omega= -0.03694304 ,f= NaN ,
lam= 38.89564 ,nu= NaN ,phi= 995.7914 ,omega= -0.001381092 ,f= NaN ,
lam= 38.8922 ,nu= NaN ,phi= 1008.921 ,omega= 0.01639988 ,f= NaN ,
lam= 38.89048 ,nu= NaN ,phi= 1015.485 ,omega= 0.02529037 ,f= NaN ,
lam= 38.88962 ,nu= NaN ,phi= 1018.768 ,omega= 0.02973561 ,f= NaN ,
lam= 38.88919 ,nu= NaN ,phi= 1020.409 ,omega= 0.03195823 ,f= NaN ,
lam= 38.88897 ,nu= NaN ,phi= 1021.229 ,omega= 0.03306954 ,f= NaN ,
lam= 38.88886 ,nu= NaN ,phi= 1021.64 ,omega= 0.0336252 ,f= NaN ,
lam= 38.88881 ,nu= NaN ,phi= 1021.845 ,omega= 0.03390302 ,f= NaN ,
lam= 38.88878 ,nu= NaN ,phi= 1021.947 ,omega= 0.03404194 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.0341114 ,f= NaN ,
lam= 38.88876 ,nu= 4.882092 ,phi= 1022.024 ,omega= 0.03414612 ,f= -625.7636 ,
lam= 38.88876 ,nu= 4.882092 ,phi= 1022.024 ,omega= 0.03414612 ,f= -625.7636 ,
-----Iteration 6 -----
lam= 38.89198 ,nu= NaN ,phi= 997.6569 ,omega= -0.03515274 ,f= NaN ,
lam= 38.89037 ,nu= NaN ,phi= 1009.841 ,omega= -0.0005033092 ,f= NaN ,
lam= 38.88957 ,nu= NaN ,phi= 1015.932 ,omega= 0.01682141 ,f= NaN ,
lam= 38.88916 ,nu= NaN ,phi= 1018.978 ,omega= 0.02548377 ,f= NaN ,
lam= 38.88896 ,nu= NaN ,phi= 1020.501 ,omega= 0.02981494 ,f= NaN ,
lam= 38.88886 ,nu= NaN ,phi= 1021.263 ,omega= 0.03198053 ,f= NaN ,
lam= 38.88881 ,nu= NaN ,phi= 1021.644 ,omega= 0.03306333 ,f= NaN ,
lam= 38.88879 ,nu= NaN ,phi= 1021.834 ,omega= 0.03360473 ,f= NaN ,
lam= 38.88878 ,nu= NaN ,phi= 1021.929 ,omega= 0.03387542 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.977 ,omega= 0.03401077 ,f= NaN ,
lam= 38.88877 ,nu= 4.840393 ,phi= 1022.001 ,omega= 0.03407845 ,f= -622.6518 ,
lam= 38.88877 ,nu= 4.840393 ,phi= 1022.001 ,omega= 0.03407845 ,f= -622.6518 ,
-----Iteration 7 -----
lam= 38.88874 ,nu= NaN ,phi= 1014.602 ,omega= -0.0247116 ,f= NaN ,
lam= 38.88875 ,nu= NaN ,phi= 1018.301 ,omega= 0.004683426 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1020.151 ,omega= 0.01938094 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1021.076 ,omega= 0.02672969 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1021.538 ,omega= 0.03040407 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.769 ,omega= 0.03224126 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.885 ,omega= 0.03315985 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.943 ,omega= 0.03361915 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.972 ,omega= 0.0338488 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.986 ,omega= 0.03396362 ,f= NaN ,
