fcn value: -1053.986 
     parameter initial gradient free
[1,]    40.100        0.4001871    1
[2,]  1250.000       -0.2550171    1
[3,]     0.035      458.6098942    1
Condition number of the (active) hessian: 1411335029 
lam= 40.88861 ,nu= 5.740156 ,phi= 1108.254 ,omega= 0.03587369 ,f= -1053.573 ,
lam= 40.88861 ,nu= 5.740156 ,phi= 1108.254 ,omega= 0.03587369 ,f= -1053.573 ,
-----Iteration 1 -----
lam= 39.50724 ,nu= 5.415097 ,phi= 1066.379 ,omega= 0.03708254 ,f= -1053.329 ,
lam= 39.50724 ,nu= 5.415097 ,phi= 1066.379 ,omega= 0.03708254 ,f= -1053.329 ,
-----Iteration 2 -----
lam= 35.65731 ,nu= NaN ,phi= 1021.14 ,omega= 0.04070033 ,f= NaN ,
lam= 37.58227 ,nu= 5.229528 ,phi= 1043.759 ,omega= 0.03889144 ,f= -1052.785 ,
lam= 37.58227 ,nu= 5.229528 ,phi= 1043.759 ,omega= 0.03889144 ,f= -1052.785 ,
-----Iteration 3 -----
lam= 32.60725 ,nu= NaN ,phi= 987.1519 ,omega= 0.04400332 ,f= NaN ,
lam= 35.09476 ,nu= NaN ,phi= 1015.456 ,omega= 0.04144738 ,f= NaN ,
lam= 36.33852 ,nu= 5.112053 ,phi= 1029.607 ,omega= 0.04016941 ,f= -1051.767 ,
lam= 36.33852 ,nu= 5.112053 ,phi= 1029.607 ,omega= 0.04016941 ,f= -1051.767 ,
-----Iteration 4 -----
lam= 34.79922 ,nu= NaN ,phi= 900.9873 ,omega= 0.04103991 ,f= NaN ,
lam= 35.56887 ,nu= NaN ,phi= 965.2974 ,omega= 0.04060466 ,f= NaN ,
lam= 35.95369 ,nu= NaN ,phi= 997.4524 ,omega= 0.04038703 ,f= NaN ,
lam= 36.14611 ,nu= NaN ,phi= 1013.53 ,omega= 0.04027822 ,f= NaN ,
lam= 36.24231 ,nu= NaN ,phi= 1021.569 ,omega= 0.04022381 ,f= NaN ,
lam= 36.29041 ,nu= 5.074819 ,phi= 1025.588 ,omega= 0.04019661 ,f= -1051.056 ,
lam= 36.29041 ,nu= 5.074819 ,phi= 1025.588 ,omega= 0.04019661 ,f= -1051.056 ,
-----Iteration 5 -----
lam= 39.38474 ,nu= NaN ,phi= 656.2054 ,omega= 0.03124798 ,f= NaN ,
lam= 37.83758 ,nu= NaN ,phi= 840.8967 ,omega= 0.0357223 ,f= NaN ,
lam= 37.064 ,nu= NaN ,phi= 933.2424 ,omega= 0.03795945 ,f= NaN ,
lam= 36.67721 ,nu= NaN ,phi= 979.4152 ,omega= 0.03907803 ,f= NaN ,
lam= 36.48381 ,nu= NaN ,phi= 1002.502 ,omega= 0.03963732 ,f= NaN ,
lam= 36.38711 ,nu= NaN ,phi= 1014.045 ,omega= 0.03991697 ,f= NaN ,
lam= 36.33876 ,nu= NaN ,phi= 1019.816 ,omega= 0.04005679 ,f= NaN ,
lam= 36.31459 ,nu= 5.038785 ,phi= 1022.702 ,omega= 0.0401267 ,f= -1049.631 ,
lam= 36.31459 ,nu= 5.038785 ,phi= 1022.702 ,omega= 0.0401267 ,f= -1049.631 ,
-----Iteration 6 -----
lam= 39.12125 ,nu= NaN ,phi= 309.449 ,omega= -0.01924351 ,f= NaN ,
lam= 37.71792 ,nu= NaN ,phi= 666.0756 ,omega= 0.0104416 ,f= NaN ,
lam= 37.01625 ,nu= NaN ,phi= 844.389 ,omega= 0.02528415 ,f= NaN ,
lam= 36.66542 ,nu= NaN ,phi= 933.5456 ,omega= 0.03270542 ,f= NaN ,
lam= 36.49 ,nu= NaN ,phi= 978.1239 ,omega= 0.03641606 ,f= NaN ,
lam= 36.4023 ,nu= NaN ,phi= 1000.413 ,omega= 0.03827138 ,f= NaN ,
lam= 36.35844 ,nu= NaN ,phi= 1011.558 ,omega= 0.03919904 ,f= NaN ,
lam= 36.33652 ,nu= NaN ,phi= 1017.13 ,omega= 0.03966287 ,f= NaN ,
lam= 36.32555 ,nu= NaN ,phi= 1019.916 ,omega= 0.03989478 ,f= NaN ,
lam= 36.32007 ,nu= NaN ,phi= 1021.309 ,omega= 0.04001074 ,f= NaN ,
lam= 36.31733 ,nu= 4.998252 ,phi= 1022.006 ,omega= 0.04006872 ,f= -1045.836 ,
lam= 36.31733 ,nu= 4.998252 ,phi= 1022.006 ,omega= 0.04006872 ,f= -1045.836 ,
-----Iteration 7 -----
lam= 36.31754 ,nu= NaN ,phi= 1016.58 ,omega= -0.01873417 ,f= NaN ,
lam= 36.31744 ,nu= NaN ,phi= 1019.293 ,omega= 0.01066728 ,f= NaN ,
lam= 36.31738 ,nu= NaN ,phi= 1020.649 ,omega= 0.025368 ,f= NaN ,
lam= 36.31736 ,nu= NaN ,phi= 1021.328 ,omega= 0.03271836 ,f= NaN ,
lam= 36.31734 ,nu= NaN ,phi= 1021.667 ,omega= 0.03639354 ,f= NaN ,
lam= 36.31734 ,nu= NaN ,phi= 1021.836 ,omega= 0.03823113 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.921 ,omega= 0.03914993 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.963 ,omega= 0.03960932 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.985 ,omega= 0.03983902 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.995 ,omega= 0.03995387 ,f= NaN ,
lam= 36.31733 ,nu= 4.973085 ,phi= 1022 ,omega= 0.0400113 ,f= -1043.907 ,
lam= 36.31733 ,nu= 4.973085 ,phi= 1022 ,omega= 0.0400113 ,f= -1043.907 ,
-----Iteration 8 -----
lam= 36.31731 ,nu= NaN ,phi= 1015.318 ,omega= -0.01129525 ,f= NaN ,
lam= 36.31732 ,nu= NaN ,phi= 1018.659 ,omega= 0.01435802 ,f= NaN ,
lam= 36.31732 ,nu= NaN ,phi= 1020.33 ,omega= 0.02718466 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.165 ,omega= 0.03359798 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.583 ,omega= 0.03680464 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.792 ,omega= 0.03840797 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.896 ,omega= 0.03920963 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.948 ,omega= 0.03961046 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.974 ,omega= 0.03981088 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.987 ,omega= 0.03991109 ,f= NaN ,
