----- Initial parameters: -----
fcn value: -1053.986 
     parameter initial gradient free
[1,]    40.100        0.4002628    1
[2,]  1300.000       -0.2451952    1
[3,]     0.035      458.6138959    1
Condition number of the (active) hessian: 1544360577 
lam= 40.90935 ,nu= 6.088393 ,phi= 1153.599 ,omega= 0.03585646 ,f= -1053.617 ,
lam= 40.90935 ,nu= 6.088393 ,phi= 1153.599 ,omega= 0.03585646 ,f= -1053.617 ,
-----Iteration 1 -----
lam= 40.50939 ,nu= 5.76911 ,phi= 1112.104 ,omega= 0.0362079 ,f= -1053.579 ,
lam= 40.50939 ,nu= 5.76911 ,phi= 1112.104 ,omega= 0.0362079 ,f= -1053.579 ,
-----Iteration 2 -----
lam= 39.24124 ,nu= 5.448286 ,phi= 1070.642 ,omega= 0.0373405 ,f= -1053.372 ,
lam= 39.24124 ,nu= 5.448286 ,phi= 1070.642 ,omega= 0.0373405 ,f= -1053.372 ,
-----Iteration 3 -----
lam= 35.7119 ,nu= 5.062199 ,phi= 1026.679 ,omega= 0.04070404 ,f= -1051.29 ,
lam= 35.7119 ,nu= 5.062199 ,phi= 1026.679 ,omega= 0.04070404 ,f= -1051.29 ,
-----Iteration 4 -----
lam= 37.16252 ,nu= NaN ,phi= 772.1884 ,omega= 0.03625306 ,f= NaN ,
lam= 36.43721 ,nu= NaN ,phi= 899.4336 ,omega= 0.03847855 ,f= NaN ,
lam= 36.07456 ,nu= NaN ,phi= 963.0562 ,omega= 0.0395913 ,f= NaN ,
lam= 35.89323 ,nu= NaN ,phi= 994.8675 ,omega= 0.04014767 ,f= NaN ,
lam= 35.80257 ,nu= NaN ,phi= 1010.773 ,omega= 0.04042586 ,f= NaN ,
lam= 35.75724 ,nu= NaN ,phi= 1018.726 ,omega= 0.04056495 ,f= NaN ,
lam= 35.73457 ,nu= 5.017023 ,phi= 1022.702 ,omega= 0.0406345 ,f= -1049.622 ,
lam= 35.73457 ,nu= 5.017023 ,phi= 1022.702 ,omega= 0.0406345 ,f= -1049.622 ,
-----Iteration 5 -----
